source_file,source_column,target_table,target_column,sql_expression,type,null_default_policy,key_role,vocabulary,routing_rule,rationale,owner,requirement_id,test_id
medications.csv,(row content),fct_medication,medication_key,registry(medication),integer,never null,PK,,,,analytics-engineering,8.4.3,unique_fct_medication_medication_key
medications.csv,DISPENSES,fct_medication,source_dispenses,parse_numeric,numeric,null when missing/invalid,,,,Not individual fills; no adherence inference,analytics-engineering,8.2,
medications.csv,CODE,DRUG_EXPOSURE,drug_concept_id,valid standard or Maps to target,integer,0 when unmapped,,RxNorm (table default),target domain Drug,,analytics-engineering,MAP-02,assert_omop_concepts_valid
medications.csv,STOP,DRUG_EXPOSURE,drug_exposure_end_date,coalesce(stop_date; start_date),date,imputed = start (crosswalk flag); verbatim_end_date keeps source,,,,Documented conservative convention,analytics-engineering,8.5,end_not_before_start
observations.csv,(row content),fct_observation,observation_key,registry(observation),integer,never null,PK,,,Repeated same-time values preserved,analytics-engineering,8.4.3,unique_fct_observation_observation_key
observations.csv,VALUE,fct_observation,value_as_number / value_parse_status,numeric when TYPE=numeric and parses,numeric/text,missing|invalid|numeric|text (never 0),,,,STG-02,analytics-engineering,STG-02,accepted_values_stg_synthea__observations_value_parse_status
observations.csv,UNITS,fct_observation,unit_key,registry(unit) else 0,integer,0 = no unit supplied,FK dim_unit,UCUM (unit_policy),,No conversions,analytics-engineering,MAP-05,relationships_fct_observation_unit_key
observations.csv,CODE,MEASUREMENT,measurement_concept_id,valid standard or Maps to target,integer,0 when unmapped vital-signs/laboratory,,LOINC (table default),target domain Measurement,,analytics-engineering,MAP-03/04,assert_omop_concepts_valid
observations.csv,UNITS,MEASUREMENT,unit_concept_id,unit_policy -> UCUM concept,integer,null no unit / 0 unmapped unit,,UCUM,,,analytics-engineering,MAP-05,assert_omop_concepts_valid
observations.csv,VALUE,OBSERVATION,value_as_string,left(VALUE;60) when text,varchar(60),null for numeric,,,,,analytics-engineering,8.5,
organizations.csv,Id,dim_organization,organization_key,registry(organization); 0 = Unknown,integer,never null,PK,,,Complete snapshot each batch; CARE_SITE is P1,analytics-engineering,8.3,unique_dim_organization_organization_key
organizations.csv,NAME,dim_organization,organization_name,NAME,text,null when blank,,,,Type 1,analytics-engineering,8.3,
(supported events),first/last event date,OBSERVATION_PERIOD,observation_period_start_date/end_date,min(event start) / least(max boundary; D; death),date,person excluded if first event after min(D;death),PK = person_id,,,Inferred span not coverage,analytics-engineering,8.5,end_not_before_start_omop_observation_period
(manifest),generator+versions,CDM_SOURCE,cdm_source_name..vocabulary_version,see omop_cdm_source.sql,mixed,exactly one row,,CDM,,Provenance,analytics-engineering,8.5;GOV-01,exactly_one_row_omop_cdm_source
